id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,CLASS_LABEL,SpecialChars,SpecialCharRatio,PctNumerics,SCHostRatio,HostnameRatio,SuspiciousElements,AvgPathLength,QueryRatio,log_UrlLength,log_PathLength,log_Querylength
11,5,4,2,64,1,1,0,0,0,0,0,0,0,3,1,1,0,1,1,53,4,0,0,1,6,0.09375,0.046875,0.09433962264150944,0.828125,3,2.0,0.0,4.174387269895637,1.6094379124341003,0.0
12,2,0,2,47,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,22,18,0,0,1,2,0.0425531914893617,0.02127659574468085,0.0,0.46808510638297873,1,9.0,0.0,3.871201010907891,2.9444389791664403,0.0
13,2,1,2,61,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,43,10,0,0,1,3,0.04918032786885246,0.0,0.046511627906976744,0.7049180327868853,0,5.0,0.0,4.127134385045092,2.3978952727983707,0.0
14,2,1,3,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,12,0,0,1,2,0.05714285714285714,0.0,0.0625,0.45714285714285713,1,4.0,0.0,3.58351893845611,2.5649493574615367,0.0
15,2,1,2,60,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,43,10,0,0,1,3,0.05,0.0,0.046511627906976744,0.7166666666666667,1,5.0,0.0,4.110873864173311,2.3978952727983707,0.0
16,3,0,4,73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,33,33,0,0,1,3,0.0410958904109589,0.0,0.0,0.4520547945205479,2,8.25,0.0,4.30406509320417,3.5263605246161616,0.0
17,3,0,5,50,0,0,0,1,0,0,0,0,0,10,1,1,1,0,0,13,30,0,0,1,3,0.06,0.2,0.0,0.26,2,6.0,0.0,3.9318256327243257,3.4339872044851463,0.0
18,3,1,2,59,1,1,0,0,0,0,0,0,0,7,1,1,0,0,1,36,16,0,0,1,4,0.06779661016949153,0.11864406779661017,0.05555555555555555,0.6101694915254238,2,8.0,0.0,4.0943445622221,2.833213344056216,0.0
19,2,0,3,28,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,9,12,0,0,1,2,0.07142857142857142,0.03571428571428571,0.0,0.32142857142857145,2,4.0,0.0,3.367295829986474,2.5649493574615367,0.0
20,1,0,4,59,0,0,0,0,0,0,0,0,0,22,1,1,0,0,1,12,40,0,0,1,1,0.01694915254237288,0.3728813559322034,0.0,0.2033898305084746,2,10.0,0.0,4.0943445622221,3.713572066704308,0.0
21,1,0,4,32,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,11,14,0,0,1,1,0.03125,0.125,0.0,0.34375,1,3.5,0.0,3.4965075614664802,2.70805020110221,0.0
22,5,1,2,52,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,25,20,0,0,1,5,0.09615384615384616,0.019230769230769232,0.04,0.4807692307692308,1,10.0,0.0,3.970291913552122,3.044522437723423,0.0
23,2,1,6,62,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18,37,0,0,1,3,0.04838709677419355,0.0,0.05555555555555555,0.2903225806451613,1,6.166666666666667,0.0,4.143134726391533,3.6375861597263857,0.0
24,1,0,10,105,2,0,0,0,0,0,0,0,0,24,1,1,0,0,1,11,87,0,0,1,3,0.02857142857142857,0.22857142857142856,0.0,0.10476190476190476,2,8.7,0.0,4.663439094112067,4.477336814478207,0.0
25,4,1,2,55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,31,17,0,0,1,4,0.07272727272727272,0.0,0.03225806451612903,0.5636363636363636,1,8.5,0.0,4.02535169073515,2.8903717578961645,0.0
26,5,0,3,134,3,0,0,0,0,0,0,0,0,1,1,1,0,0,1,14,56,56,0,1,8,0.05970149253731343,0.007462686567164179,0.0,0.1044776119402985,2,18.666666666666668,0.0,4.90527477843843,4.04305126783455,4.04305126783455
27,2,0,3,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14,22,0,0,1,2,0.046511627906976744,0.0,0.0,0.32558139534883723,2,7.333333333333333,0.0,3.784189633918261,3.1354942159291497,0.0
28,6,0,3,210,2,0,0,0,7,0,5,4,0,24,1,1,0,0,1,9,54,139,0,1,15,0.07142857142857142,0.11428571428571428,0.0,0.04285714285714286,2,18.0,0.03597122302158273,5.351858133476067,4.007333185232471,4.941642422609304
29,2,0,7,135,2,0,0,0,3,0,2,1,0,1,1,0,0,0,1,22,51,54,0,1,7,0.05185185185185185,0.007407407407407408,0.0,0.16296296296296298,2,7.285714285714286,0.037037037037037035,4.912654885736052,3.9512437185814275,4.007333185232471
30,5,0,6,85,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,9,69,0,0,1,5,0.058823529411764705,0.0,0.0,0.10588235294117647,2,11.5,0.0,4.454347296253507,4.248495242049359,0.0
31,2,1,3,80,0,0,0,0,0,0,0,0,0,17,1,1,0,0,1,32,41,0,0,1,2,0.025,0.2125,0.03125,0.4,2,13.666666666666666,0.0,4.394449154672439,3.7376696182833684,0.0
32,2,0,2,44,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,19,18,0,0,1,2,0.045454545454545456,0.09090909090909091,0.0,0.4318181818181818,1,9.0,0.0,3.8066624897703196,2.9444389791664403,0.0
33,3,0,9,95,0,0,0,0,0,4,0,0,0,16,1,1,0,0,0,10,78,0,0,1,3,0.031578947368421054,0.16842105263157894,0.0,0.10526315789473684,1,8.666666666666666,0.0,4.564348191467836,4.3694478524670215,0.0
34,2,0,6,60,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15,38,0,0,1,3,0.05,0.0,0.0,0.25,1,6.333333333333333,0.0,4.110873864173311,3.6635616461296463,0.0
35,2,0,5,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,41,0,0,1,2,0.03333333333333333,0.0,0.0,0.2,2,8.2,0.0,4.110873864173311,3.7376696182833684,0.0
36,6,0,2,100,1,0,0,0,0,0,1,0,0,8,1,0,0,0,0,22,18,52,0,1,7,0.07,0.08,0.0,0.22,1,9.0,0.019230769230769232,4.61512051684126,2.9444389791664403,3.970291913552122
37,6,0,2,111,1,0,0,0,0,0,1,0,1,18,1,0,0,0,0,22,18,52,0,1,7,0.06306306306306306,0.16216216216216217,0.0,0.1981981981981982,1,9.0,0.019230769230769232,4.718498871295094,2.9444389791664403,3.970291913552122
38,2,1,2,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16,6,0,0,1,2,0.06896551724137931,0.0,0.0625,0.5517241379310345,1,3.0,0.0,3.4011973816621555,1.9459101490553132,0.0
39,2,1,2,37,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,24,6,0,0,1,4,0.10810810810810811,0.0,0.125,0.6486486486486487,3,3.0,0.0,3.6375861597263857,1.9459101490553132,0.0
40,3,1,2,49,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,24,18,0,0,1,5,0.10204081632653061,0.0,0.125,0.4897959183673469,3,9.0,0.0,3.912023005428146,2.9444389791664403,0.0
41,1,0,3,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14,13,0,0,1,1,0.029411764705882353,0.0,0.0,0.4117647058823529,2,4.333333333333333,0.0,3.5553480614894135,2.6390573296152584,0.0
42,3,1,3,53,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,22,24,0,0,1,4,0.07547169811320754,0.0,0.045454545454545456,0.41509433962264153,2,8.0,0.0,3.9889840465642745,3.2188758248682006,0.0
43,2,0,3,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,24,0,0,1,2,0.044444444444444446,0.0,0.0,0.3111111111111111,1,8.0,0.0,3.828641396489095,3.2188758248682006,0.0
44,3,0,5,65,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,16,42,0,0,1,3,0.046153846153846156,0.0,0.0,0.24615384615384617,2,8.4,0.0,4.189654742026425,3.7612001156935624,0.0
45,5,1,2,182,0,0,0,0,0,0,1,0,0,75,1,1,0,0,0,30,37,107,0,1,5,0.027472527472527472,0.41208791208791207,0.03333333333333333,0.16483516483516483,1,18.5,0.009345794392523364,5.209486152841421,3.6375861597263857,4.68213122712422
46,3,0,2,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,21,0,0,1,3,0.06382978723404255,0.0,0.0,0.40425531914893614,2,10.5,0.0,3.871201010907891,3.091042453358316,0.0
47,4,1,3,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,32,0,0,1,4,0.07272727272727272,0.0,0.0625,0.2909090909090909,1,10.666666666666666,0.0,4.02535169073515,3.4965075614664802,0.0
48,2,0,4,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,42,0,0,1,2,0.03225806451612903,0.0,0.0,0.20967741935483872,1,10.5,0.0,4.143134726391533,3.7612001156935624,0.0
49,2,0,5,59,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,34,0,0,1,3,0.05084745762711865,0.0,0.0,0.3050847457627119,1,6.8,0.0,4.0943445622221,3.5553480614894135,0.0
50,3,0,2,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,14,0,0,1,3,0.07692307692307693,0.0,0.0,0.46153846153846156,1,7.0,0.0,3.6888794541139363,2.70805020110221,0.0
51,2,0,5,41,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,23,0,0,1,2,0.04878048780487805,0.024390243902439025,0.0,0.2682926829268293,1,4.6,0.0,3.7376696182833684,3.1780538303479458,0.0
52,2,0,3,142,0,0,0,0,1,0,0,0,0,5,1,1,0,0,0,14,121,0,0,1,3,0.02112676056338028,0.035211267605633804,0.0,0.09859154929577464,1,40.333333333333336,0.0,4.962844630259907,4.804021044733257,0.0
53,2,1,2,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,5,0,0,1,2,0.06896551724137931,0.0,0.058823529411764705,0.5862068965517241,1,2.5,0.0,3.4011973816621555,1.791759469228055,0.0
54,4,1,3,51,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,16,28,0,0,1,5,0.09803921568627451,0.0,0.125,0.3137254901960784,2,9.333333333333334,0.0,3.9512437185814275,3.367295829986474,0.0
55,3,1,2,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,17,0,0,1,3,0.07692307692307693,0.0,0.06666666666666667,0.38461538461538464,1,8.5,0.0,3.6888794541139363,2.8903717578961645,0.0
56,3,1,2,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,24,17,0,0,1,3,0.0625,0.0,0.041666666666666664,0.5,1,8.5,0.0,3.8918202981106265,2.8903717578961645,0.0
57,2,0,5,59,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,25,0,0,1,3,0.05084745762711865,0.0,0.0,0.4576271186440678,1,5.0,0.0,4.0943445622221,3.258096538021482,0.0
58,2,0,7,129,2,0,0,0,3,0,2,1,0,1,1,0,0,0,1,22,51,48,0,1,7,0.05426356589147287,0.007751937984496124,0.0,0.17054263565891473,2,7.285714285714286,0.041666666666666664,4.867534450455582,3.9512437185814275,3.8918202981106265
59,3,1,2,34,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22,5,0,0,1,4,0.11764705882352941,0.0,0.09090909090909091,0.6470588235294118,1,2.5,0.0,3.5553480614894135,1.791759469228055,0.0
60,8,7,2,184,2,2,0,0,0,0,2,1,0,26,1,1,0,1,0,76,34,66,0,1,10,0.05434782608695652,0.14130434782608695,0.11842105263157894,0.41304347826086957,2,17.0,0.030303030303030304,5.220355825078324,3.5553480614894135,4.204692619390966
61,8,7,2,184,2,2,0,0,0,0,2,1,0,33,1,1,0,1,0,76,34,66,0,1,10,0.05434782608695652,0.1793478260869565,0.11842105263157894,0.41304347826086957,2,17.0,0.030303030303030304,5.220355825078324,3.5553480614894135,4.204692619390966
62,2,0,7,135,2,0,0,0,3,0,1,1,0,1,1,0,0,0,1,22,51,54,0,1,7,0.05185185185185185,0.007407407407407408,0.0,0.16296296296296298,2,7.285714285714286,0.018518518518518517,4.912654885736052,3.9512437185814275,4.007333185232471
63,2,0,7,133,2,0,0,0,3,0,2,1,0,1,1,0,0,0,1,22,51,52,0,1,7,0.05263157894736842,0.007518796992481203,0.0,0.16541353383458646,2,7.285714285714286,0.038461538461538464,4.897839799950911,3.9512437185814275,3.970291913552122
64,4,1,3,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,28,0,0,1,4,0.07692307692307693,0.0,0.058823529411764705,0.3269230769230769,2,9.333333333333334,0.0,3.970291913552122,3.367295829986474,0.0
65,4,2,1,58,0,0,0,0,0,0,1,0,0,4,1,1,0,0,0,17,15,18,0,1,4,0.06896551724137931,0.06896551724137931,0.11764705882352941,0.29310344827586204,1,15.0,0.05555555555555555,4.07753744390572,2.772588722239781,2.9444389791664403
66,5,1,5,120,1,0,0,0,1,0,0,0,0,22,1,1,0,0,1,23,90,0,0,1,7,0.058333333333333334,0.18333333333333332,0.043478260869565216,0.19166666666666668,2,18.0,0.0,4.795790545596741,4.51085950651685,0.0
67,3,1,3,48,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16,25,0,0,1,4,0.08333333333333333,0.0,0.0625,0.3333333333333333,1,8.333333333333334,0.0,3.8918202981106265,3.258096538021482,0.0
68,4,0,3,58,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,35,0,0,1,5,0.08620689655172414,0.0,0.0,0.27586206896551724,1,11.666666666666666,0.0,4.07753744390572,3.58351893845611,0.0
69,1,0,3,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,17,0,0,1,1,0.03125,0.0,0.0,0.25,1,5.666666666666667,0.0,3.4965075614664802,2.8903717578961645,0.0
70,2,1,3,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,22,8,0,0,1,2,0.05405405405405406,0.0,0.045454545454545456,0.5945945945945946,2,2.6666666666666665,0.0,3.6375861597263857,2.1972245773362196,0.0
71,2,1,2,63,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,17,5,33,0,1,2,0.031746031746031744,0.06349206349206349,0.058823529411764705,0.2698412698412698,1,2.5,0.030303030303030304,4.1588830833596715,1.791759469228055,3.5263605246161616
72,5,1,5,120,1,0,0,0,1,0,0,0,0,20,1,1,0,0,1,23,90,0,0,1,7,0.058333333333333334,0.16666666666666666,0.043478260869565216,0.19166666666666668,2,18.0,0.0,4.795790545596741,4.51085950651685,0.0
73,2,0,2,52,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,25,20,0,0,1,2,0.038461538461538464,0.019230769230769232,0.0,0.4807692307692308,1,10.0,0.0,3.970291913552122,3.044522437723423,0.0
74,5,0,4,58,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,15,36,0,0,1,5,0.08620689655172414,0.20689655172413793,0.0,0.25862068965517243,2,9.0,0.0,4.07753744390572,3.6109179126442243,0.0
75,2,0,3,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,26,0,0,1,2,0.0392156862745098,0.0,0.0,0.35294117647058826,1,8.666666666666666,0.0,3.9512437185814275,3.295836866004329,0.0
76,1,0,6,73,0,0,0,0,1,0,0,0,0,3,1,1,0,0,1,14,52,0,0,1,2,0.0273972602739726,0.0410958904109589,0.0,0.1917808219178082,2,8.666666666666666,0.0,4.30406509320417,3.970291913552122,0.0
77,3,1,4,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,35,0,0,1,3,0.05263157894736842,0.0,0.06666666666666667,0.2631578947368421,1,8.75,0.0,4.060443010546419,3.58351893845611,0.0
78,2,0,3,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,8,0,0,1,2,0.0625,0.0,0.0,0.53125,2,2.6666666666666665,0.0,3.4965075614664802,2.1972245773362196,0.0
79,2,0,4,52,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,21,24,0,0,1,2,0.038461538461538464,0.0,0.0,0.40384615384615385,1,6.0,0.0,3.970291913552122,3.2188758248682006,0.0
80,1,0,2,47,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,23,9,7,0,1,2,0.0425531914893617,0.0,0.043478260869565216,0.48936170212765956,1,4.5,0.14285714285714285,3.871201010907891,2.302585092994046,2.0794415416798357
81,1,0,3,59,1,1,0,0,0,0,0,0,0,18,1,1,0,0,0,14,38,0,0,1,2,0.03389830508474576,0.3050847457627119,0.07142857142857142,0.23728813559322035,1,12.666666666666666,0.0,4.0943445622221,3.6635616461296463,0.0
82,5,0,7,135,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,11,77,39,0,1,6,0.044444444444444446,0.0,0.0,0.08148148148148149,2,11.0,0.02564102564102564,4.912654885736052,4.356708826689592,3.6888794541139363
83,2,1,2,34,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18,9,0,0,1,3,0.08823529411764706,0.0,0.1111111111111111,0.5294117647058824,1,4.5,0.0,3.5553480614894135,2.302585092994046,0.0
84,1,0,10,153,0,0,0,0,1,0,0,0,0,47,1,1,0,0,0,15,131,0,0,1,2,0.013071895424836602,0.30718954248366015,0.0,0.09803921568627451,1,13.1,0.0,5.0369526024136295,4.882801922586371,0.0
85,2,0,2,51,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,17,27,0,0,1,3,0.058823529411764705,0.0,0.0,0.3333333333333333,2,13.5,0.0,3.9512437185814275,3.332204510175204,0.0
86,5,1,5,120,1,0,0,0,1,0,0,0,0,17,1,1,0,0,1,23,90,0,0,1,7,0.058333333333333334,0.14166666666666666,0.043478260869565216,0.19166666666666668,2,18.0,0.0,4.795790545596741,4.51085950651685,0.0
87,3,0,5,67,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,44,0,0,1,4,0.05970149253731343,0.0,0.0,0.23880597014925373,1,8.8,0.0,4.219507705176107,3.8066624897703196,0.0
88,2,0,2,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,16,0,0,1,2,0.04878048780487805,0.0,0.0,0.43902439024390244,1,8.0,0.0,3.7376696182833684,2.833213344056216,0.0
89,2,0,2,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,15,0,0,1,2,0.05,0.0,0.0,0.45,1,7.5,0.0,3.713572066704308,2.772588722239781,0.0
90,1,0,2,39,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,9,0,0,1,2,0.05128205128205128,0.0,0.043478260869565216,0.5897435897435898,1,4.5,0.0,3.6888794541139363,2.302585092994046,0.0
91,3,1,2,58,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,23,0,0,1,4,0.06896551724137931,0.0,0.03571428571428571,0.4827586206896552,1,11.5,0.0,4.07753744390572,3.1780538303479458,0.0
92,2,1,4,46,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14,25,0,0,1,3,0.06521739130434782,0.0,0.07142857142857142,0.30434782608695654,1,6.25,0.0,3.8501476017100584,3.258096538021482,0.0
93,4,1,2,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,16,5,0,1,4,0.08333333333333333,0.0,0.05263157894736842,0.3958333333333333,1,8.0,0.0,3.8918202981106265,2.833213344056216,1.791759469228055
94,2,0,5,139,0,0,0,0,0,0,2,1,0,43,1,1,0,0,0,21,60,50,0,1,2,0.014388489208633094,0.30935251798561153,0.0,0.1510791366906475,1,12.0,0.04,4.941642422609304,4.110873864173311,3.9318256327243257
95,1,0,4,79,1,0,0,0,0,0,0,0,0,32,1,1,0,0,0,13,59,0,0,1,2,0.02531645569620253,0.4050632911392405,0.0,0.16455696202531644,1,14.75,0.0,4.382026634673881,4.0943445622221,0.0
96,1,0,4,79,1,0,0,0,0,0,0,0,0,30,1,1,0,0,0,13,59,0,0,1,2,0.02531645569620253,0.379746835443038,0.0,0.16455696202531644,1,14.75,0.0,4.382026634673881,4.0943445622221,0.0
97,3,1,3,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,29,17,0,0,1,3,0.05660377358490566,0.0,0.034482758620689655,0.5471698113207547,2,5.666666666666667,0.0,3.9889840465642745,2.8903717578961645,0.0
98,2,0,5,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,36,0,0,1,2,0.03773584905660377,0.0,0.0,0.18867924528301888,1,7.2,0.0,3.9889840465642745,3.6109179126442243,0.0
99,3,1,5,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,37,0,0,1,3,0.04285714285714286,0.0,0.038461538461538464,0.37142857142857144,1,7.4,0.0,4.2626798770413155,3.6375861597263857,0.0
100,3,0,2,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,14,0,0,1,3,0.061224489795918366,0.0,0.0,0.5714285714285714,1,7.0,0.0,3.912023005428146,2.70805020110221,0.0
101,12,11,6,149,2,2,0,0,0,0,0,0,0,18,1,1,0,1,0,84,58,0,0,1,14,0.09395973154362416,0.12080536912751678,0.15476190476190477,0.5637583892617449,2,9.666666666666666,0.0,5.0106352940962555,4.07753744390572,0.0
102,4,1,5,152,2,0,0,0,7,0,2,2,0,4,1,1,0,0,1,18,39,87,0,1,13,0.08552631578947369,0.02631578947368421,0.05555555555555555,0.11842105263157894,2,7.8,0.022988505747126436,5.030437921392435,3.6888794541139363,4.477336814478207
103,3,0,4,82,0,0,0,0,2,0,1,0,0,4,1,0,0,0,0,26,36,12,0,1,5,0.06097560975609756,0.04878048780487805,0.0,0.3170731707317073,1,9.0,0.08333333333333333,4.418840607796598,3.6109179126442243,2.5649493574615367
104,2,0,2,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,22,0,0,1,2,0.05128205128205128,0.0,0.0,0.2564102564102564,1,11.0,0.0,3.6888794541139363,3.1354942159291497,0.0
105,1,0,3,39,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,23,9,0,0,1,1,0.02564102564102564,0.05128205128205128,0.0,0.5897435897435898,1,3.0,0.0,3.6888794541139363,2.302585092994046,0.0
106,1,0,4,50,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,23,20,0,0,1,2,0.04,0.0,0.043478260869565216,0.46,1,5.0,0.0,3.9318256327243257,3.044522437723423,0.0
107,5,1,5,79,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,30,42,0,0,1,5,0.06329113924050633,0.0,0.03333333333333333,0.379746835443038,2,8.4,0.0,4.382026634673881,3.7612001156935624,0.0
108,1,0,2,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,5,0,0,1,1,0.04,0.0,0.0,0.52,1,2.5,0.0,3.258096538021482,1.791759469228055,0.0
109,3,0,3,212,0,0,0,0,8,0,10,9,0,48,1,1,0,0,0,15,33,156,0,1,11,0.05188679245283019,0.22641509433962265,0.0,0.07075471698113207,1,11.0,0.0641025641025641,5.3612921657094255,3.5263605246161616,5.056245805348308
110,3,0,3,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15,33,1,0,1,3,0.05263157894736842,0.0,0.0,0.2631578947368421,1,11.0,0.0,4.060443010546419,3.5263605246161616,0.6931471805599453
111,3,1,3,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,22,0,0,1,3,0.06382978723404255,0.0,0.05555555555555555,0.3829787234042553,1,7.333333333333333,0.0,3.871201010907891,3.1354942159291497,0.0
112,1,0,2,52,0,0,0,0,0,0,0,0,0,23,1,1,0,0,0,9,36,0,0,1,1,0.019230769230769232,0.4423076923076923,0.0,0.17307692307692307,1,18.0,0.0,3.970291913552122,3.6109179126442243,0.0
113,2,0,3,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,17,0,0,1,2,0.05,0.0,0.0,0.4,1,5.666666666666667,0.0,3.713572066704308,2.8903717578961645,0.0
114,1,0,3,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,14,0,0,1,1,0.02702702702702703,0.0,0.0,0.43243243243243246,1,4.666666666666667,0.0,3.6375861597263857,2.70805020110221,0.0
115,2,0,2,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,15,0,0,1,2,0.05405405405405406,0.0,0.0,0.40540540540540543,1,7.5,0.0,3.6375861597263857,2.772588722239781,0.0
116,3,1,2,64,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,37,20,0,0,1,5,0.078125,0.0,0.08108108108108109,0.578125,1,10.0,0.0,4.174387269895637,3.044522437723423,0.0
117,2,0,3,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,22,0,0,1,2,0.047619047619047616,0.0,0.0,0.30952380952380953,1,7.333333333333333,0.0,3.7612001156935624,3.1354942159291497,0.0
118,2,0,3,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,23,0,0,1,2,0.046511627906976744,0.0,0.0,0.3023255813953488,1,7.666666666666667,0.0,3.784189633918261,3.1780538303479458,0.0
